,enhanced,standard
"Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Pseudomonas phage phiPSA1;GCF_000921055.1 Pseudomonas phage phiPSA1;NC_024365.1 Pseudomonas phage phiPSA1, complete genome -> Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae;Pseudomonas phage phiPSA1;GCF_000921055.1 Pseudomonas phage phiPSA1;NC_024365.1 Pseudomonas phage phiPSA1, complete genome",1.0,1.0
cellular organisms -> cellular organisms,1.0,1.0
cellular organisms -> cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,1.0,1.0
cellular organisms;Bacteria -> cellular organisms;Bacteria,,1.0
cellular organisms;Bacteria -> cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria,,2.0
cellular organisms;Bacteria -> cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae,1.0,3.0
cellular organisms;Bacteria -> cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex,3.0,2.0
cellular organisms;Bacteria -> cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,9.0,6.0
cellular organisms;Bacteria -> cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,1.0,
cellular organisms;Bacteria;Proteobacteria -> cellular organisms;Bacteria;Proteobacteria,1.0,1.0
cellular organisms;Bacteria;Proteobacteria -> cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria,,6.0
cellular organisms;Bacteria;Proteobacteria -> cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae,,4.0
cellular organisms;Bacteria;Proteobacteria -> cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex,24.0,17.0
cellular organisms;Bacteria;Proteobacteria -> cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,8.0,7.0
cellular organisms;Bacteria;Proteobacteria -> cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,2.0,2.0
cellular organisms;Bacteria;Proteobacteria -> cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas antarctica,2.0,
cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Starkeya;Starkeya novella -> cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Starkeya;Starkeya novella,1.0,1.0
cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;Magnetospirillum gryphiswaldense -> cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;Magnetospirillum gryphiswaldense,1.0,1.0
cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Nitrospirillum;Nitrospirillum amazonense -> cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Nitrospirillum;Nitrospirillum amazonense,1.0,1.0
